source,table,quantity,beam_type,chamber_geometry,ionization_chamber,TPR20_10,kQ,unit
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,Capintec PR-06C,0.56,1.0003,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,Capintec PR-06C,0.59,0.9993,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,Capintec PR-06C,0.62,0.998,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,Capintec PR-06C,0.65,0.9961,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,Capintec PR-06C,0.68,0.9934,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,Capintec PR-06C,0.7,0.9909,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,Capintec PR-06C,0.72,0.9878,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,Capintec PR-06C,0.74,0.9839,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,Capintec PR-06C,0.76,0.979,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,Capintec PR-06C,0.78,0.9727,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,Capintec PR-06C,0.8,0.9649,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,Capintec PR-06C,0.82,0.9551,dimensionless
